Author;Title;Co-Authors;Pagination;Published;Venue
Dominique L'Her;Proving Sequential Function Chart Programs Using Automata.;Philippe Le Parc, Lionel Marcé;149-163;1998;WIA 1998
Philippe Le Parc;Proving Sequential Function Chart Programs Using Automata.;Dominique L'Her, Lionel Marcé;149-163;1998;WIA 1998
Lionel Marcé;Proving Sequential Function Chart Programs Using Automata.;Dominique L'Her, Philippe Le Parc;149-163;1998;WIA 1998
Marie-Chantal Beaulieu;Automata and Computational Probabilities.;Anne Bergeron;164-177;1998;WIA 1998
Anne Bergeron;Automata and Computational Probabilities.;Marie-Chantal Beaulieu;164-177;1998;WIA 1998
Jean-Francis Michon;Automata and Binary Decision Diagrams.;Jean-Marc Champarnaud;178-182;1998;WIA 1998
Jean-Marc Champarnaud;Automata and Binary Decision Diagrams.;Jean-Francis Michon;178-182;1998;WIA 1998
Gérard Duchamp;Operations over Automata with Multiplicities.;Marianne Flouret, Éric Laugerotte;183-191;1998;WIA 1998
Marianne Flouret;Operations over Automata with Multiplicities.;Gérard Duchamp, Éric Laugerotte;183-191;1998;WIA 1998
Éric Laugerotte;Operations over Automata with Multiplicities.;Gérard Duchamp, Marianne Flouret;183-191;1998;WIA 1998
Ricardo Ueda Karpischek;Paging Automata.;nan;192-198;1998;WIA 1998
Yuri Velinov;On the Syntax, Semantics, and Implementation of a Graph-Based Computational Environment.;nan;199-212;1998;WIA 1998
Sandro Pedrazzini;The Finite State Automata's Design Patterns.;nan;213-219;1998;WIA 1998
Xavier Augros;Automata to Recognize Finite and Infinite Words with at Least Two Factorizations on a Given Finite Set.;nan;220-225;1998;WIA 1998
Are Uppman;Autographe: A Graphical Version of Automate.;Jean-Marc Champarnaud;226-229;1998;WIA 1998
Jean-Marc Champarnaud;Autographe: A Graphical Version of Automate.;Are Uppman;226-229;1998;WIA 1998
Max Silberztein;INTEX 4.1 for Windows: A Walkthrough.;nan;230-243;1998;WIA 1998
Javier Esparza;FPsolve: A Generic Solver for Fixpoint Equations over Semirings.;Michael Luttenberger, Maximilian Schlund;1-15;2014;CIAA 2014
Michael Luttenberger;FPsolve: A Generic Solver for Fixpoint Equations over Semirings.;Javier Esparza, Maximilian Schlund;1-15;2014;CIAA 2014
Maximilian Schlund;FPsolve: A Generic Solver for Fixpoint Equations over Semirings.;Javier Esparza, Michael Luttenberger;1-15;2014;CIAA 2014
Friedrich Otto;Restarting Automata for Picture Languages: A Survey on Recent Developments.;nan;16-41;2014;CIAA 2014
Giovanni Pighizzini;Investigations on Automata and Languages over a Unary Alphabet.;nan;42-57;2014;CIAA 2014
Georgios Ch. Sirakoulis;Cellular Automata for Crowd Dynamics.;nan;58-69;2014;CIAA 2014
Ivone Amorim;Counting Equivalent Linear Finite Transducers Using a Canonical Form.;António Machiavelo, Rogério Reis;70-83;2014;CIAA 2014
António Machiavelo;Counting Equivalent Linear Finite Transducers Using a Canonical Form.;Ivone Amorim, Rogério Reis;70-83;2014;CIAA 2014
Rogério Reis;Counting Equivalent Linear Finite Transducers Using a Canonical Form.;Ivone Amorim, António Machiavelo;70-83;2014;CIAA 2014
Maria Paola Bianchi;On the Power of One-Way Automata with Quantum and Classical States.;Carlo Mereghetti, Beatrice Palano;84-97;2014;CIAA 2014
Carlo Mereghetti;On the Power of One-Way Automata with Quantum and Classical States.;Maria Paola Bianchi, Beatrice Palano;84-97;2014;CIAA 2014
Beatrice Palano;On the Power of One-Way Automata with Quantum and Classical States.;Maria Paola Bianchi, Carlo Mereghetti;84-97;2014;CIAA 2014
Franziska Biegler;On Comparing Deterministic Finite Automata and the Shuffle of Words.;Ian McQuillan;98-109;2014;CIAA 2014
Ian McQuillan;On Comparing Deterministic Finite Automata and the Shuffle of Words.;Franziska Biegler;98-109;2014;CIAA 2014
Francine Blanchet-Sadri;Minimal Partial Languages and Automata.;Kira Goldner, Aidan Shackleton;110-123;2014;CIAA 2014
Kira Goldner;Minimal Partial Languages and Automata.;Francine Blanchet-Sadri, Aidan Shackleton;110-123;2014;CIAA 2014
Aidan Shackleton;Minimal Partial Languages and Automata.;Francine Blanchet-Sadri, Kira Goldner;110-123;2014;CIAA 2014
Janusz A. Brzozowski;Large Aperiodic Semigroups.;Marek Szykula;124-135;2014;CIAA 2014
Marek Szykula;Large Aperiodic Semigroups.;Janusz A. Brzozowski;124-135;2014;CIAA 2014
Kristína Cevorová;On the Square of Regular Languages.;Galina Jirásková, Ivana Krajnáková;136-147;2014;CIAA 2014
Galina Jirásková;On the Square of Regular Languages.;Kristína Cevorová, Ivana Krajnáková;136-147;2014;CIAA 2014
Ivana Krajnáková;On the Square of Regular Languages.;Kristína Cevorová, Galina Jirásková;136-147;2014;CIAA 2014
Marzio De Biasi;Unary Languages Recognized by Two-Way One-Counter Automata.;Abuzer Yakaryilmaz;148-161;2014;CIAA 2014
Abuzer Yakaryilmaz;Unary Languages Recognized by Two-Way One-Counter Automata.;Marzio De Biasi;148-161;2014;CIAA 2014
Akim Demaille;A Type System for Weighted Automata and Rational Expressions.;Alexandre Duret-Lutz, Sylvain Lombardy, Luca Saiu, Jacques Sakarovitch;162-175;2014;CIAA 2014
Alexandre Duret-Lutz;A Type System for Weighted Automata and Rational Expressions.;Akim Demaille, Sylvain Lombardy, Luca Saiu, Jacques Sakarovitch;162-175;2014;CIAA 2014
Sylvain Lombardy;A Type System for Weighted Automata and Rational Expressions.;Akim Demaille, Alexandre Duret-Lutz, Luca Saiu, Jacques Sakarovitch;162-175;2014;CIAA 2014
Luca Saiu;A Type System for Weighted Automata and Rational Expressions.;Akim Demaille, Alexandre Duret-Lutz, Sylvain Lombardy, Jacques Sakarovitch;162-175;2014;CIAA 2014
Jacques Sakarovitch;A Type System for Weighted Automata and Rational Expressions.;Akim Demaille, Alexandre Duret-Lutz, Sylvain Lombardy, Luca Saiu;162-175;2014;CIAA 2014
Marius Dumitran;Bounded Prefix-Suffix Duplication.;Javier Gil, Florin Manea, Victor Mitrana;176-187;2014;CIAA 2014
Javier Gil;Bounded Prefix-Suffix Duplication.;Marius Dumitran, Florin Manea, Victor Mitrana;176-187;2014;CIAA 2014
Florin Manea;Bounded Prefix-Suffix Duplication.;Marius Dumitran, Javier Gil, Victor Mitrana;176-187;2014;CIAA 2014
Victor Mitrana;Bounded Prefix-Suffix Duplication.;Marius Dumitran, Javier Gil, Florin Manea;176-187;2014;CIAA 2014
Akio Fujiyoshi;Recognition of Labeled Multidigraphs by Spanning Tree Automata.;nan;188-199;2014;CIAA 2014
Vladimir V. Gusev;Reset Thresholds of Automata with Two Cycle Lengths.;Elena V. Pribavkina;200-210;2014;CIAA 2014
Elena V. Pribavkina;Reset Thresholds of Automata with Two Cycle Lengths.;Vladimir V. Gusev;200-210;2014;CIAA 2014
Oscar H. Ibarra;On the Ambiguity, Finite-Valuedness, and Lossiness Problems in Acceptors and Transducers.;nan;211-225;2014;CIAA 2014
Galina Jirásková;Kleene Closure on Regular and Prefix-Free Languages.;Matús Palmovský, Juraj Sebej;226-237;2014;CIAA 2014
Matús Palmovský;Kleene Closure on Regular and Prefix-Free Languages.;Galina Jirásková, Juraj Sebej;226-237;2014;CIAA 2014
Juraj Sebej;Kleene Closure on Regular and Prefix-Free Languages.;Galina Jirásková, Matús Palmovský;226-237;2014;CIAA 2014
Sang-Ki Ko;Left is Better than Right for Reducing Nondeterminism of NFAs.;Yo-Sub Han;238-251;2014;CIAA 2014
Yo-Sub Han;Left is Better than Right for Reducing Nondeterminism of NFAs.;Sang-Ki Ko;238-251;2014;CIAA 2014
Petr Kurka;Analytic Functions Computable by Finite State Transducers.;Tomás Vávra;252-263;2014;CIAA 2014
Tomás Vávra;Analytic Functions Computable by Finite State Transducers.;Petr Kurka;252-263;2014;CIAA 2014
Eva Maia;Partial Derivative and Position Bisimilarity Automata.;Nelma Moreira, Rogério Reis;264-277;2014;CIAA 2014
Nelma Moreira;Partial Derivative and Position Bisimilarity Automata.;Eva Maia, Rogério Reis;264-277;2014;CIAA 2014
Rogério Reis;Partial Derivative and Position Bisimilarity Automata.;Eva Maia, Nelma Moreira;264-277;2014;CIAA 2014
Andreas Maletti;The Power of Regularity-Preserving Multi Bottom-up Tree Transducers.;nan;278-289;2014;CIAA 2014
Johannes Osterholzer;Pushdown Machines for Weighted Context-Free Tree Translation.;nan;290-303;2014;CIAA 2014
Maria Pittou;Weighted Variable Automata over Infinite Alphabets.;George Rahonis;304-317;2014;CIAA 2014
George Rahonis;Weighted Variable Automata over Infinite Alphabets.;Maria Pittou;304-317;2014;CIAA 2014
Jibran Rashid;Implications of Quantum Automata for Contextuality.;Abuzer Yakaryilmaz;318-331;2014;CIAA 2014
Abuzer Yakaryilmaz;Implications of Quantum Automata for Contextuality.;Jibran Rashid;318-331;2014;CIAA 2014
Abiel Roche-Lima;Pairwise Rational Kernels Obtained by Automaton Operations.;Michael Domaratzki, Brian Fristensky;332-345;2014;CIAA 2014
Michael Domaratzki;Pairwise Rational Kernels Obtained by Automaton Operations.;Abiel Roche-Lima, Brian Fristensky;332-345;2014;CIAA 2014
Brian Fristensky;Pairwise Rational Kernels Obtained by Automaton Operations.;Abiel Roche-Lima, Michael Domaratzki;332-345;2014;CIAA 2014
Mehryar Mohri;Edit-Distance of Weighted Automata.;nan;1-23;2002;CIAA 2002
Cyril Allauzen;p-Subsequentiable Transducers.;Mehryar Mohri;24-34;2002;CIAA 2002
Mehryar Mohri;p-Subsequentiable Transducers.;Cyril Allauzen;24-34;2002;CIAA 2002
Miguel A. Alonso;Tabulation of Bidirectional Push Down Automata.;Víctor J. Díaz, Manuel Vilares Ferro;35-46;2002;CIAA 2002
Víctor J. Díaz;Tabulation of Bidirectional Push Down Automata.;Miguel A. Alonso, Manuel Vilares Ferro;35-46;2002;CIAA 2002
Manuel Vilares Ferro;Tabulation of Bidirectional Push Down Automata.;Miguel A. Alonso, Víctor J. Díaz;35-46;2002;CIAA 2002
Marcella Anselmo;Finite Automata and Non-self-Embedding Grammars.;Dora Giammarresi, Stefano Varricchio;47-56;2002;CIAA 2002
Dora Giammarresi;Finite Automata and Non-self-Embedding Grammars.;Marcella Anselmo, Stefano Varricchio;47-56;2002;CIAA 2002
Stefano Varricchio;Finite Automata and Non-self-Embedding Grammars.;Marcella Anselmo, Dora Giammarresi;47-56;2002;CIAA 2002
Janusz A. Brzozowski;Simulation of Gate Circuits in the Algebra of Transients.;Mihaela Gheorghiu;57-66;2002;CIAA 2002
Mihaela Gheorghiu;Simulation of Gate Circuits in the Algebra of Transients.;Janusz A. Brzozowski;57-66;2002;CIAA 2002
Cezar Câmpeanu;The Number of Similarity Relations and the Number of Minimal Deterministic Finite Cover Automata.;Andrei Paun;67-76;2002;CIAA 2002
Andrei Paun;The Number of Similarity Relations and the Number of Minimal Deterministic Finite Cover Automata.;Cezar Câmpeanu;67-76;2002;CIAA 2002
Cezar Câmpeanu;Regex and Extended Regex.;Kai Salomaa, Sheng Yu;77-84;2002;CIAA 2002
Kai Salomaa;Regex and Extended Regex.;Cezar Câmpeanu, Sheng Yu;77-84;2002;CIAA 2002
Sheng Yu;Regex and Extended Regex.;Cezar Câmpeanu, Kai Salomaa;77-84;2002;CIAA 2002
Jurek Czyzowicz;Prime Decompositions of Regular Prefix Codes.;Wojciech Fraczak, Andrzej Pelc, Wojciech Rytter;85-94;2002;CIAA 2002
Wojciech Fraczak;Prime Decompositions of Regular Prefix Codes.;Jurek Czyzowicz, Andrzej Pelc, Wojciech Rytter;85-94;2002;CIAA 2002
Andrzej Pelc;Prime Decompositions of Regular Prefix Codes.;Jurek Czyzowicz, Wojciech Fraczak, Wojciech Rytter;85-94;2002;CIAA 2002
Wojciech Rytter;Prime Decompositions of Regular Prefix Codes.;Jurek Czyzowicz, Wojciech Fraczak, Andrzej Pelc;85-94;2002;CIAA 2002
Abolfazl Fatholahzadeh;Implementation of Dictionaries via Automata and Decision Trees.;nan;95-105;2002;CIAA 2002
Mihaela Gheorghiu;Feedback-Free Circuits in the Algebra of Transients.;Janusz A. Brzozowski;106-116;2002;CIAA 2002
Janusz A. Brzozowski;Feedback-Free Circuits in the Algebra of Transients.;Mihaela Gheorghiu;106-116;2002;CIAA 2002
Heiko Körner;On Minimizing Cover Automata for Finite Languages in O(n log n) Time.;nan;117-127;2002;CIAA 2002
Jorge Graña;Compilation of Constraint-Based Contextual Rules for Part-of-Speech Tagging into Finite State Transducers.;Gloria Andrade, Jesús Vilares;128-137;2002;CIAA 2002
Gloria Andrade;Compilation of Constraint-Based Contextual Rules for Part-of-Speech Tagging into Finite State Transducers.;Jorge Graña, Jesús Vilares;128-137;2002;CIAA 2002
Jesús Vilares;Compilation of Constraint-Based Contextual Rules for Part-of-Speech Tagging into Finite State Transducers.;Jorge Graña, Gloria Andrade;128-137;2002;CIAA 2002
Franck Guingne;Finite State Lazy Operations in NLP.;Florent Nicart;138-147;2002;CIAA 2002
Florent Nicart;Finite State Lazy Operations in NLP.;Franck Guingne;138-147;2002;CIAA 2002
Markus Holzer;State Complexity of Basic Operations on Nondeterministic Finite Automata.;Martin Kutrib;148-157;2002;CIAA 2002
Martin Kutrib;State Complexity of Basic Operations on Nondeterministic Finite Automata.;Markus Holzer;148-157;2002;CIAA 2002
João José Neto;Adaptive Automata - A Revisited Proposal.;César Bravo;158-168;2002;CIAA 2002
César Bravo;Adaptive Automata - A Revisited Proposal.;João José Neto;158-168;2002;CIAA 2002
Alexander Okhotin;Efficient Automaton-Based Recognition for Linear Conjunctive Languages.;nan;169-181;2002;CIAA 2002
Libor Polák;Syntactic Semiring and Language Equations.;nan;182-193;2002;CIAA 2002
Klaus Sutner;Reduced Power Automata.;nan;194-202;2002;CIAA 2002
A. N. Trahtman;A Polynomial Time Algorithm for Left [Right] Local Testability.;nan;203-212;2002;CIAA 2002
Alexander Okhotin;Whale Calf, a Parser Generator for Conjunctive Grammars.;nan;213-220;2002;CIAA 2002
Klaus Sutner;automata, a Hybrid System for Computational Automata Theory.;nan;221-227;2002;CIAA 2002
A. N. Trahtman;A Package TESTAS for Checking Some Kinds of Testability.;nan;228-232;2002;CIAA 2002
Miroslav Balík;DAWG versus Suffix Array.;nan;233-238;2002;CIAA 2002
Anne Brüggemann-Klein;On Predictive Parsing and Extended Context-Free Grammars.;Derick Wood;239-247;2002;CIAA 2002
Derick Wood;On Predictive Parsing and Extended Context-Free Grammars.;Anne Brüggemann-Klein;239-247;2002;CIAA 2002
Pascal Caron;Star Normal Form, Rational Expressions, and Glushkov WFAs Properties.;Marianne Flouret;248-254;2002;CIAA 2002
Marianne Flouret;Star Normal Form, Rational Expressions, and Glushkov WFAs Properties.;Pascal Caron;248-254;2002;CIAA 2002
Jan Daciuk;Comparison of Construction Algorithms for Minimal, Acyclic, Deterministic, Finite-State Automata from Sets of Strings.;nan;255-261;2002;CIAA 2002
Gaëlle Largeteau;Term Validation of Distributed Hard Real-Time Applications.;Dominique Geniet;262-269;2002;CIAA 2002
Dominique Geniet;Term Validation of Distributed Hard Real-Time Applications.;Gaëlle Largeteau;262-269;2002;CIAA 2002
Zdenek Tronícek;Common Subsequence Automaton.;nan;270-275;2002;CIAA 2002
Manuel Vilares Ferro;Searching for Asymptotic Error Repair.;Victor M. Darriba, Miguel A. Alonso;276-281;2002;CIAA 2002
Victor M. Darriba;Searching for Asymptotic Error Repair.;Manuel Vilares Ferro, Miguel A. Alonso;276-281;2002;CIAA 2002
Miguel A. Alonso;Searching for Asymptotic Error Repair.;Manuel Vilares Ferro, Victor M. Darriba;276-281;2002;CIAA 2002
Constantinos Bartzis;Automata-Based Representations for Arithmetic Constraints in Automated Verification.;Tevfik Bultan;282-288;2002;CIAA 2002
Tevfik Bultan;Automata-Based Representations for Arithmetic Constraints in Automated Verification.;Constantinos Bartzis;282-288;2002;CIAA 2002
Jan Holub;On the Implementation of Compact DAWG's.;Maxime Crochemore;289-294;2002;CIAA 2002
Maxime Crochemore;On the Implementation of Compact DAWG's.;Jan Holub;289-294;2002;CIAA 2002
Jan Holub;Dynamic Programming - NFA Simulation.;nan;295-300;2002;CIAA 2002
Borivoj Melichar;Deterministic Parsing of Cyclic Strings.;nan;301-306;2002;CIAA 2002
Thomas A. Henzinger;Automata for Specifying Component Interfaces.;nan;1-2;2003;CIAA 2003
Juhani Karhumäki;Automata on Words.;nan;3-10;2003;CIAA 2003
Nico Wallmeier;Symbolic Synthesis of Finite-State Controllers for Request-Response Specifications.;Patrick Hütten, Wolfgang Thomas;11-22;2003;CIAA 2003
Patrick Hütten;Symbolic Synthesis of Finite-State Controllers for Request-Response Specifications.;Nico Wallmeier, Wolfgang Thomas;11-22;2003;CIAA 2003
Wolfgang Thomas;Symbolic Synthesis of Finite-State Controllers for Request-Response Specifications.;Nico Wallmeier, Patrick Hütten;11-22;2003;CIAA 2003
Farn Wang;Timing Parameter Characterization of Real-Time Systems.;Hsu-Chun Yen;23-34;2003;CIAA 2003
Hsu-Chun Yen;Timing Parameter Characterization of Real-Time Systems.;Farn Wang;23-34;2003;CIAA 2003
Carsten Fritz;Constructing Büchi Automata from Linear Temporal Logic Using Simulation Relations for Alternating Büchi Automata.;nan;35-48;2003;CIAA 2003
Jean-Marc Champarnaud;From Regular Weighted Expressions to Finite Automata.;Éric Laugerotte, Faissal Ouardi, Djelloul Ziadi;49-60;2003;CIAA 2003
Éric Laugerotte;From Regular Weighted Expressions to Finite Automata.;Jean-Marc Champarnaud, Faissal Ouardi, Djelloul Ziadi;49-60;2003;CIAA 2003
Faissal Ouardi;From Regular Weighted Expressions to Finite Automata.;Jean-Marc Champarnaud, Éric Laugerotte, Djelloul Ziadi;49-60;2003;CIAA 2003
Djelloul Ziadi;From Regular Weighted Expressions to Finite Automata.;Jean-Marc Champarnaud, Éric Laugerotte, Faissal Ouardi;49-60;2003;CIAA 2003
Hellis Tamm;Bideterministic Automata and Minimal Representations of Regular Languages.;Esko Ukkonen;61-71;2003;CIAA 2003
Esko Ukkonen;Bideterministic Automata and Minimal Representations of Regular Languages.;Hellis Tamm;61-71;2003;CIAA 2003
Lynette van Zijl;Succinct Descriptions of Regular Languages with Binary +-NFAs.;nan;72-82;2003;CIAA 2003
Cyril Allauzen;An Efficient Pre-determinization Algorithm.;Mehryar Mohri;83-95;2003;CIAA 2003
Mehryar Mohri;An Efficient Pre-determinization Algorithm.;Cyril Allauzen;83-95;2003;CIAA 2003
Sylvain Lombardy;Introducing VAUCANSON.;Raphael Poss, Yann Régis-Gianas, Jacques Sakarovitch;96-107;2003;CIAA 2003
Raphael Poss;Introducing VAUCANSON.;Sylvain Lombardy, Yann Régis-Gianas, Jacques Sakarovitch;96-107;2003;CIAA 2003
Yann Régis-Gianas;Introducing VAUCANSON.;Sylvain Lombardy, Raphael Poss, Jacques Sakarovitch;96-107;2003;CIAA 2003
Jacques Sakarovitch;Introducing VAUCANSON.;Sylvain Lombardy, Raphael Poss, Yann Régis-Gianas;96-107;2003;CIAA 2003
André Kempe;WFSC - A New Weighted Finite State Compiler.;Christof Baeijs, Tamás Gaál, Franck Guingne, Florent Nicart;108-119;2003;CIAA 2003
Christof Baeijs;WFSC - A New Weighted Finite State Compiler.;André Kempe, Tamás Gaál, Franck Guingne, Florent Nicart;108-119;2003;CIAA 2003
Tamás Gaál;WFSC - A New Weighted Finite State Compiler.;André Kempe, Christof Baeijs, Franck Guingne, Florent Nicart;108-119;2003;CIAA 2003
Franck Guingne;WFSC - A New Weighted Finite State Compiler.;André Kempe, Christof Baeijs, Tamás Gaál, Florent Nicart;108-119;2003;CIAA 2003
Florent Nicart;WFSC - A New Weighted Finite State Compiler.;André Kempe, Christof Baeijs, Tamás Gaál, Franck Guingne;108-119;2003;CIAA 2003
Satoru Miyamoto;Ternary Directed Acyclic Word Graphs.;Shunsuke Inenaga, Masayuki Takeda, Ayumi Shinohara;120-130;2003;CIAA 2003
Shunsuke Inenaga;Ternary Directed Acyclic Word Graphs.;Satoru Miyamoto, Masayuki Takeda, Ayumi Shinohara;120-130;2003;CIAA 2003
Masayuki Takeda;Ternary Directed Acyclic Word Graphs.;Satoru Miyamoto, Shunsuke Inenaga, Ayumi Shinohara;120-130;2003;CIAA 2003
Ayumi Shinohara;Ternary Directed Acyclic Word Graphs.;Satoru Miyamoto, Shunsuke Inenaga, Masayuki Takeda;120-130;2003;CIAA 2003
