Author;Title;Co-Authors;Pagination;Published in
Elena V. Pribavkina;On Non-complete Sets and Restivo's Conjecture.;Vladimir V. Gusev;239-250;2011
Benjamin Hellouin de Menibus;Self-organization in Cellular Automata: A Particle-Based Approach.;Mathieu Sablik;251-263;2011
Mathieu Sablik;Self-organization in Cellular Automata: A Particle-Based Approach.;Benjamin Hellouin de Menibus;251-263;2011
Markus Holzer;Chop Operations and Expressions: Descriptional Complexity Considerations.;Sebastian Jakobi;264-275;2011
Sebastian Jakobi;Chop Operations and Expressions: Descriptional Complexity Considerations.;Markus Holzer;264-275;2011
Markus Holzer;Nodes Connected by Path Languages.;Martin Kutrib, Ursula Leiter;276-287;2011
Martin Kutrib;Nodes Connected by Path Languages.;Markus Holzer, Ursula Leiter;276-287;2011
Ursula Leiter;Nodes Connected by Path Languages.;Markus Holzer, Martin Kutrib;276-287;2011
Norbert Hundeshagen;Characterizing the Regular Languages by Nonforgetting Restarting Automata.;Friedrich Otto;288-299;2011
Friedrich Otto;Characterizing the Regular Languages by Nonforgetting Restarting Automata.;Norbert Hundeshagen;288-299;2011
Oscar H. Ibarra;On Two-Way Transducers.;Hsu-Chun Yen;300-311;2011
Hsu-Chun Yen;On Two-Way Transducers.;Oscar H. Ibarra;300-311;2011
